tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
2026-09-25 05:03:38.495054 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:38.518960 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:38.539218 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:38.559456 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:38.579685 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:38.599873 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:38.599932 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:38.620108 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:38.640291 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:38.648641 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.660479 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:38.668314 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.680675 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:38.688344 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.700863 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:38.708329 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.728263 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.748313 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.768235 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.788838 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.801634 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:38.808307 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.821826 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:38.828401 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.842023 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:38.848325 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:38.862207 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
