### COMMAND
/usr/sbin/asterisk -rx core\ show\ translation 
### OUTPUT
         Translation times between formats (in microseconds) for one second of data
          Source Format (Rows) Destination Format (Columns)

           ulaw  alaw   gsm  g726 g726aal2 adpcm slin8 slin12 slin16 slin24 slin32 slin44 slin48 slin96 slin192 lpc10 speex8 speex16 speex32  ilbc  g722  opus
     ulaw     -  9150 15000 15000    15000 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000  15000   23000   23000 15000 17250 23000
     alaw  9150     - 15000 15000    15000 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000  15000   23000   23000 15000 17250 23000
      gsm 15000 15000     - 15000    15000 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000  15000   23000   23000 15000 17250 23000
     g726 15000 15000 15000     -    15000 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000  15000   23000   23000 15000 17250 23000
 g726aal2 15000 15000 15000 15000        - 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000  15000   23000   23000 15000 17250 23000
    adpcm 15000 15000 15000 15000    15000     -  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000  15000   23000   23000 15000 17250 23000
    slin8  6000  6000  6000  6000     6000  6000     -   8000   8000   8000   8000   8000   8000   8000    8000  6000   6000   14000   14000  6000  8250 14000
   slin12 14500 14500 14500 14500    14500 14500  8500      -   8000   8000   8000   8000   8000   8000    8000 14500  14500   14000   14000 14500 14000 14000
   slin16 14500 14500 14500 14500    14500 14500  8500   8500      -   8000   8000   8000   8000   8000    8000 14500  14500    6000   14000 14500  6000 14000
   slin24 14500 14500 14500 14500    14500 14500  8500   8500   8500      -   8000   8000   8000   8000    8000 14500  14500   14500   14000 14500 14500 14000
   slin32 14500 14500 14500 14500    14500 14500  8500   8500   8500   8500      -   8000   8000   8000    8000 14500  14500   14500    6000 14500 14500 14000
   slin44 14500 14500 14500 14500    14500 14500  8500   8500   8500   8500   8500      -   8000   8000    8000 14500  14500   14500   14500 14500 14500 14000
   slin48 14500 14500 14500 14500    14500 14500  8500   8500   8500   8500   8500   8500      -   8000    8000 14500  14500   14500   14500 14500 14500  6000
   slin96 14500 14500 14500 14500    14500 14500  8500   8500   8500   8500   8500   8500   8500      -    8000 14500  14500   14500   14500 14500 14500 14500
  slin192 14500 14500 14500 14500    14500 14500  8500   8500   8500   8500   8500   8500   8500   8500       - 14500  14500   14500   14500 14500 14500 14500
    lpc10 15000 15000 15000 15000    15000 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000     -  15000   23000   23000 15000 17250 23000
   speex8 15000 15000 15000 15000    15000 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000      -   23000   23000 15000 17250 23000
  speex16 23500 23500 23500 23500    23500 23500 17500  17500   9000  17000  17000  17000  17000  17000   17000 23500  23500       -   23000 23500 15000 23000
  speex32 23500 23500 23500 23500    23500 23500 17500  17500  17500  17500   9000  17000  17000  17000   17000 23500  23500   23500       - 23500 23500 23000
     ilbc 15000 15000 15000 15000    15000 15000  9000  17000  17000  17000  17000  17000  17000  17000   17000 15000  15000   23000   23000     - 17250 23000
     g722 15600 15600 15600 15600    15600 15600  9600  17500   9000  17000  17000  17000  17000  17000   17000 15600  15600   15000   23000 15600     - 23000
     opus 23500 23500 23500 23500    23500 23500 17500  17500  17500  17500  17500  17500   9000  17000   17000 23500  23500   23500   23500 23500 23500     -
